decade,title ,budget,worldwide gross, budget recovered,domestic gross,domestic ,international gross,international ,year
2010's,Toy Story 3,200,1067,533,415,38.9,652,61.1,2010
2020's,Ant-Man: Quantumania,200,463,232,214,46.2,249,53.8,2023
2010's,Toy Story 4,200,1073,537,434,40.4,639,59.6,2019
2010's,The Rise of Skywalker,275,1074,391,515,48,559,52,2019
2000's,King Kong,207,557,269,218,39.2,339,60.8,2005
2010's,The Dark Knight Rises,300,1081,360,448,41.4,633,58.6,2012
2000's,X-Men: The Last Stand,210,460,219,234,50.9,226,49.1,2006
2010's,Transformers: Age of Extinction,210,1104,526,245,22.2,859,77.8,2014
2000's,Quantum of Solace,220,590,268,168,28.6,421,71.4,2008
2010's,Joker,70,1105,1578,335,30.4,769,69.6,2019
2000's,Superman Returns,223,391,175,200,51.2,191,48.8,2006
2010's,Skyfall,200,1109,554,304,27.5,804,72.5,2012
2010's,Transformers: Dark of the Moon,175,1124,642,352,31.4,771,68.6,2011
2010's,Captain Marvel,152,1128,742,427,37.8,702,62.2,2019
2000's,Pirates of the Caribbean: Dead Man's Chest,225,1066,474,423,39.7,643,60.3,2006
2000's,Prince Caspian,225,420,187,142,33.8,278,66.2,2008
2020's,Black Adam,230,389,169,163,43.1,215,56.9,2022
2010's,Spider-Man: Far from Home,160,1132,707,391,34.5,741,65.5,2019
2010's,Aquaman,160,1149,718,335,29.2,813,70.8,2018
2000's,Avatar,237,2923,1233,785,26.9,2138,73.1,2009
2020's,Avatar 2*,250,1930,772,576,31.1,1353,68.9,2022
2010's,Captain America: Civil War,250,1153,461,408,35.4,745,64.6,2016
2010's,Minions,74,1159,1567,336,29,823,71,2015
2020's,Black Panther: Wakanda Forever,250,676,270,367,54.4,309,45.6,2022
2010's,Iron Man 3,200,1215,607,409,33.7,806,66.3,2013
2000's,Harry Potter and the Half-Blood Prince,250,934,374,302,32.4,632,67.6,2009
2020's,No Time to Die,250,774,310,161,20.8,613,79.2,2021
2000's,Spider-Man 3,250,895,358,337,37.6,558,62.4,2007
2010's,The Fate of the Furious,270,1236,458,226,18.3,1010,81.7,2017
2020's,Thor: Love and Thunder,250,761,304,343,45.1,418,54.9,2022
2020's,Guardians of the Galaxy 3,250,667,267,274,41.1,392,58.8,2023
2010's,Incredibles 2,200,1243,622,609,49,635,51,2018
2010's,Frozen,150,1305,870,401,30.7,904,69.3,2013
2010's,Beauty and the Beast,160,1306,816,504,38.6,801,61.4,2017
2010's,Jurassic World: Fallen Kingdom,187,1310,701,418,31.9,893,68.1,2018
2010's,The Last Jedi,317,1333,420,620,46.5,713,53.5,2017
2010's,Harry Potter and the Deathly Hallows: Part 2,125,1342,1074,381,28.4,961,71.6,2011
2010's,Black Panther,205,1382,674,700,50.7,682,49.3,2018
2000's,Pirates of the Caribbean: At World's End,300,961,320,309,32.2,652,67.8,2007
2010's,Avengers: Age of Ultron,250,1403,561,459,32.7,944,67.3,2015
2010's,Frozen II,150,1450,967,477,32.9,973,67.1,2019
2010's,Furious 7,190,1515,798,353,23.3,1162,76.7,2015
2010's,The Avengers,220,1519,690,623,41,895,59,2012
2010's,The Lion King,260,1663,640,544,32.7,1120,67.3,2019
2010's,Jurassic World,150,1672,1114,653,39.1,1018,60.9,2015
2010's,Avengers: Infinity War,321,2048,638,679,33.1,1370,66.9,2018
2010's,The Force Awakens,306,2070,676,937,45.3,1133,54.7,2015
2010's,Avengers: Endgame,356,2798,786,858,30.7,1939,69.3,2019
